SEKVENS;KODE;NIVEAU;TITEL;GENERELLE_NOTER;INKLUDERER;INKLUDERER_OGSÅ;EKSKLUDERER;PARAGRAF;MÅLEENHED
1;"1";1;Hovedstadskommuner;;;;;;
2;"101";2;København;;;;;;
3;"147";2;Frederiksberg;;;;;;
4;"151";2;Ballerup;;;;;;
5;"153";2;Brøndby;;;;;;
6;"155";2;Dragør;;;;;;
7;"157";2;Gentofte;;;;;;
8;"159";2;Gladsaxe;;;;;;
9;"161";2;Glostrup;;;;;;
10;"163";2;Herlev;;;;;;
11;"165";2;Albertslund;;;;;;
12;"167";2;Hvidovre;;;;;;
13;"169";2;Høje-Taastrup;;;;;;
14;"173";2;Lyngby-Taarbæk;;;;;;
15;"175";2;Rødovre;;;;;;
16;"183";2;Ishøj;;;;;;
17;"185";2;Tårnby;;;;;;
18;"187";2;Vallensbæk;;;;;;
19;"190";2;Furesø;;;;;;
20;"201";2;Allerød;;;;;;
21;"223";2;Hørsholm;;;;;;
22;"230";2;Rudersdal;;;;;;
23;"240";2;Egedal;;;;;;
24;"253";2;Greve;;;;;;
25;"269";2;Solrød;;;;;;
26;"2";1;Storbykommuner;;;;;;
27;"461";2;Odense;;;;;;
28;"751";2;Aarhus;;;;;;
29;"851";2;Aalborg;;;;;;
30;"3";1;Provinsbykommuner;;;;;;
31;"217";2;Helsingør;;;;;;
32;"219";2;Hillerød;;;;;;
33;"259";2;Køge;;;;;;
34;"265";2;Roskilde;;;;;;
35;"330";2;Slagelse;;;;;;
36;"370";2;Næstved;;;;;;
37;"561";2;Esbjerg;;;;;;
38;"607";2;Fredericia;;;;;;
39;"615";2;Horsens;;;;;;
40;"621";2;Kolding;;;;;;
41;"630";2;Vejle;;;;;;
42;"657";2;Herning;;;;;;
43;"661";2;Holstebro;;;;;;
44;"730";2;Randers;;;;;;
45;"740";2;Silkeborg;;;;;;
46;"791";2;Viborg;;;;;;
47;"4";1;Oplandskommuner;;;;;;
48;"210";2;Fredensborg;;;;;;
49;"250";2;Frederikssund;;;;;;
50;"260";2;Halsnæs;;;;;;
51;"270";2;Gribskov;;;;;;
52;"316";2;Holbæk;;;;;;
53;"320";2;Faxe;;;;;;
54;"329";2;Ringsted;;;;;;
55;"336";2;Stevns;;;;;;
56;"340";2;Sorø;;;;;;
57;"350";2;Lejre;;;;;;
58;"410";2;Middelfart;;;;;;
59;"420";2;Assens;;;;;;
60;"430";2;Faaborg-Midtfyn;;;;;;
61;"440";2;Kerteminde;;;;;;
62;"450";2;Nyborg;;;;;;
63;"480";2;Nordfyns;;;;;;
64;"575";2;Vejen;;;;;;
65;"706";2;Syddjurs;;;;;;
66;"710";2;Favrskov;;;;;;
67;"727";2;Odder;;;;;;
68;"746";2;Skanderborg;;;;;;
69;"756";2;Ikast-Brande;;;;;;
70;"766";2;Hedensted;;;;;;
71;"840";2;Rebild;;;;;;
72;"5";1;Landkommuner;;;;;;
73;"306";2;Odsherred;;;;;;
74;"326";2;Kalundborg;;;;;;
75;"360";2;Lolland;;;;;;
76;"376";2;Guldborgsund;;;;;;
77;"390";2;Vordingborg;;;;;;
78;"400";2;Bornholm;;;;;;
79;"479";2;Svendborg;;;;;;
80;"482";2;Langeland;;;;;;
81;"492";2;Ærø;;;;;;
82;"510";2;Haderslev;;;;;;
83;"530";2;Billund;;;;;;
84;"540";2;Sønderborg;;;;;;
85;"550";2;Tønder;;;;;;
86;"563";2;Fanø;;;;;;
87;"573";2;Varde;;;;;;
88;"580";2;Aabenraa;;;;;;
89;"665";2;Lemvig;;;;;;
90;"671";2;Struer;;;;;;
91;"707";2;Norddjurs;;;;;;
92;"741";2;Samsø;;;;;;
93;"760";2;Ringkøbing-Skjern;;;;;;
94;"773";2;Morsø;;;;;;
95;"779";2;Skive;;;;;;
96;"787";2;Thisted;;;;;;
97;"810";2;Brønderslev;;;;;;
98;"813";2;Frederikshavn;;;;;;
99;"820";2;Vesthimmerlands;;;;;;
100;"825";2;Læsø;;;;;;
101;"846";2;Mariagerfjord;;;;;;
102;"849";2;Jammerbugt;;;;;;
103;"860";2;Hjørring;;;;;;
